lemma,english,pos,frequency_rank,normalized_frequency,cefr_estimate,tags
stå,,verb,80,0.00115828557285859,A1,core verb core_500 core_1000 core_2000
du,,pronoun,81,0.00114730488190169,A1,core pronoun core_500 core_1000 core_2000
blandt,,preposition,82,0.00109369104962502,A1,core preposition core_500 core_1000 core_2000
lang,,adjective,83,0.00108135736677841,A1,core adjective core_500 core_1000 core_2000
første,,adjective,84,0.0010367286458021,A1,core adjective core_500 core_1000 core_2000
under,,preposition,85,0.00102869629871659,A1,core preposition core_500 core_1000 core_2000
så,,conjunction,86,0.00102576463099832,A1,core conjunction core_500 core_1000 core_2000
sted,,noun,87,0.00100969882508374,A1,core noun core_500 core_1000 core_2000
land,,noun,88,0.00100827468160741,A1,core noun core_500 core_1000 core_2000
hans,,pronoun,89,0.000952350646252018,A1,core pronoun core_500 core_1000 core_2000
selv,,pronoun,90,0.000951851473401998,A1,core pronoun core_500 core_1000 core_2000
barn,,noun,91,0.000948803072611896,A1,core noun core_500 core_1000 core_2000
procent,,noun,92,0.000946642954911252,A1,core noun core_500 core_1000 core_2000
fordi,,conjunction,93,0.000943094269527589,A1,core conjunction core_500 core_1000 core_2000
jo,,adverb,94,0.000935949093787989,A1,core adverb core_500 core_1000 core_2000
derfor,,adverb,95,0.000928582681083681,A1,core adverb core_500 core_1000 core_2000
lige,,adverb,96,0.00090012426991482,A1,core adverb core_500 core_1000 core_2000
sammen,,adverb,97,0.000898292116558844,A1,core adverb core_500 core_1000 core_2000
sen,,adjective,98,0.00089630209562001,A1,core adjective core_500 core_1000 core_2000
sidste,,adjective,99,0.000891622767054898,A1,core adjective core_500 core_1000 core_2000
mand,,noun,100,0.000890245316807292,A1,core noun core_500 core_1000 core_2000
selv,,adverb,101,0.000888059629005199,A1,core adverb core_500 core_1000 core_2000
ingen,,pronoun,102,0.000886453159588096,A1,core pronoun core_500 core_1000 core_2000
mellem,,preposition,103,0.000876420785871876,A1,core preposition core_500 core_1000 core_2000
sætte,,verb,104,0.000846888430442169,A1,core verb core_500 core_1000 core_2000
vise,,verb,105,0.000841752175281605,A1,core verb core_500 core_1000 core_2000
holde,,verb,106,0.000834353522014601,A1,core verb core_500 core_1000 core_2000
lidt,,adjective,107,0.000827395119189931,A1,core adjective core_500 core_1000 core_2000
om,,conjunction,108,0.000819237145084254,A1,core conjunction core_500 core_1000 core_2000
bruge,,verb,109,0.000818456701118298,A1,core verb core_500 core_1000 core_2000
lille,,adjective,110,0.000816742392577694,A1,core adjective core_500 core_1000 core_2000
tidlig,,adjective,111,0.000815597296730209,A1,core adjective core_500 core_1000 core_2000
hver,,pronoun,112,0.000810406566136123,A1,core pronoun core_500 core_1000 core_2000
samme,,adjective,113,0.000795136768597085,A1,core adjective core_500 core_1000 core_2000
mene,,verb,114,0.000794020578081672,A1,core verb core_500 core_1000 core_2000
både,,adverb,115,0.000788884322921107,A1,core adverb core_500 core_1000 core_2000
del,,noun,116,0.000777363324603156,A1,core noun core_500 core_1000 core_2000
med,,adverb,117,0.00077656509274054,A1,core adverb core_500 core_1000 core_2000
gammel,,adjective,118,0.00075959210409631,A1,core adjective core_500 core_1000 core_2000
nok,,adverb,119,0.000751883274381298,A1,core adverb core_500 core_1000 core_2000
kommune,,noun,120,0.000746061073455783,A1,core noun core_500 core_1000 core_2000
