under	underneath; below; during	preposition	85	core preposition core_500 core_1000 core_2000
så	so that; so	conjunction	86	core conjunction core_500 core_1000 core_2000
sted	place; spot; passage	noun	87	core noun core_500 core_1000 core_2000
land	country; countryside; country, countryside	noun	88	core noun core_500 core_1000 core_2000
hans	han; genitive of han	pronoun	89	core pronoun core_500 core_1000 core_2000
selv	self; -self; self, -self	pronoun	90	core pronoun core_500 core_1000 core_2000
barn	child; human; offspring	noun	91	core noun core_500 core_1000 core_2000
procent	percent	noun	92	core noun core_500 core_1000 core_2000
fordi	because	conjunction	93	core conjunction core_500 core_1000 core_2000
jo	as you know; after all; obviously	adverb	94	core adverb core_500 core_1000 core_2000
derfor	therefore; for this, for that, for it	adverb	95	core adverb core_500 core_1000 core_2000
lige	just; recently; just, recently	adverb	96	core adverb core_500 core_1000 core_2000
sammen	together	adverb	97	core adverb core_500 core_1000 core_2000
sen	late; belated; tardy	adjective	98	core adjective core_500 core_1000 core_2000
sidste	last; latest; latter	adjective	99	core adjective core_500 core_1000 core_2000
mand	man; husband	noun	100	core noun core_500 core_1000 core_2000
selv	even	adverb	101	core adverb core_500 core_1000 core_2000
ingen	no; no one; nobody	pronoun	102	core pronoun core_500 core_1000 core_2000
mellem	between; among	preposition	103	core preposition core_500 core_1000 core_2000
sætte	put; place; set	verb	104	core verb core_500 core_1000 core_2000
vise	show; to show; mathematics	verb	105	core verb core_500 core_1000 core_2000
holde	hold; to hold; keep	verb	106	core verb core_500 core_1000 core_2000
lidt	liked	adjective	107	core adjective core_500 core_1000 core_2000
om	whether; if; even if	conjunction	108	core conjunction core_500 core_1000 core_2000
bruge	use; to use	verb	109	core verb core_500 core_1000 core_2000
lille	small; little; slight	adjective	110	core adjective core_500 core_1000 core_2000
tidlig	early	adjective	111	core adjective core_500 core_1000 core_2000
hver	every; each; every, each	pronoun	112	core pronoun core_500 core_1000 core_2000
samme	same; equal; said	adjective	113	core adjective core_500 core_1000 core_2000
mene	mean; to mean; think	verb	114	core verb core_500 core_1000 core_2000
både		adverb	115	core adverb core_500 core_1000 core_2000
del	part; portion; part, portion	noun	116	core noun core_500 core_1000 core_2000
med		adverb	117	core adverb core_500 core_1000 core_2000
gammel	old	adjective	118	core adjective core_500 core_1000 core_2000
nok	enough; probably; yet	adverb	119	core adverb core_500 core_1000 core_2000
kommune	municipality	noun	120	core noun core_500 core_1000 core_2000
liden	little; small; little, small	adjective	121	core adjective core_500 core_1000 core_2000
mens	while; when; while, when	conjunction	122	core conjunction core_500 core_1000 core_2000
dog	however	adverb	123	core adverb core_500 core_1000 core_2000
for	because; for, because	conjunction	124	core conjunction core_500 core_1000 core_2000
skrive	write; medium; to write	verb	125	core verb core_500 core_1000 core_2000
bare	just; simply; only	adverb	126	core adverb core_500 core_1000 core_2000
hos	at; at X's abode; in X's view	preposition	127	core preposition core_500 core_1000 core_2000
høj	high; tall; loud	adjective	128	core adjective core_500 core_1000 core_2000
menneske	human; human being; man	noun	129	core noun core_500 core_1000 core_2000
ligge	lie; to lie; be	verb	130	core verb core_500 core_1000 core_2000
replik		noun	131	core noun core_500 core_1000 core_2000
tilbage	back; left; remaining	adverb	132	core adverb core_500 core_1000 core_2000
ske	be; happen; occur	verb	133	core verb core_500 core_1000 core_2000
igen	again	adverb	134	core adverb core_500 core_1000 core_2000
siden	since; later; afterwards	adverb	135	core adverb core_500 core_1000 core_2000
sag	matter; affair; matter, affair	noun	136	core noun core_500 core_1000 core_2000
regering	politics; government	noun	137	core noun core_500 core_1000 core_2000
eksempel	example; instance; illustration	noun	138	core noun core_500 core_1000 core_2000
frem	forward; toward; forward, toward	adverb	139	core adverb core_500 core_1000 core_2000
verden	world	noun	140	core noun core_500 core_1000 core_2000
måske	perhaps; possibly; maybe	adverb	141	core adverb core_500 core_1000 core_2000
sådan	like that; so much; about	adverb	142	core adverb core_500 core_1000 core_2000
folk	people; person; people, persons	noun	143	core noun core_500 core_1000 core_2000
vide	know; to know ); widen	verb	144	core verb core_500 core_1000 core_2000
lave	make; create; construct	verb	145	core verb core_500 core_1000 core_2000
uden	without; except for; but	preposition	146	core preposition core_500 core_1000 core_2000
tale	speech; to make a speech; speak	verb	147	core verb core_500 core_1000 core_2000
endnu	yet	adverb	148	core adverb core_500 core_1000 core_2000
egen	own; private; peculiar	adjective	149	core adjective core_500 core_1000 core_2000
ung	young	adjective	150	core adjective core_500 core_1000 core_2000
hvordan	how	adverb	151	core adverb core_500 core_1000 core_2000
problem		noun	152	core noun core_500 core_1000 core_2000
spille	play; music; game	verb	153	core verb core_500 core_1000 core_2000
side	viewpoint; viewpoint an opinion or attitude; page	noun	154	core noun core_500 core_1000 core_2000
uge	week	noun	155	core noun core_500 core_1000 core_2000
årig		adjective	156	core adjective core_500 core_1000 core_2000
vej	road; way; route	noun	157	core noun core_500 core_1000 core_2000
minut	minute	noun	158	core noun core_500 core_1000 core_2000
penge	money	noun	159	core noun core_500 core_1000 core_2000
vores	our; ours; our, ours	pronoun	160	core pronoun core_500 core_1000 core_2000
ned	down; downwards; down, downwards	adverb	161	core adverb core_500 core_1000 core_2000
fortælle	tell; report; to tell, to report	verb	162	core verb core_500 core_1000 core_2000
rigtig	right; proper; correct	adjective	163	core adjective core_500 core_1000 core_2000
tro	believe; to believe; think	verb	164	core verb core_500 core_1000 core_2000
kamp	battle; struggle; battle, struggle	noun	165	core noun core_500 core_1000 core_2000
klar	clear; bright; plain	adjective	166	core adjective core_500 core_1000 core_2000
kvinde	woman; A woman	noun	167	core noun core_500 core_1000 core_2000
ifølge	according to; accordance; in accordance with	preposition	168	core preposition core_500 core_1000 core_2000
liv	life; waist; middle	noun	169	core noun core_500 core_1000 core_2000
omkring	around; about	preposition	170	core preposition core_500 core_1000 core_2000
virksomhed	company; enterprise; corporation	noun	171	core noun core_500 core_1000 core_2000
politisk	politics; political	adjective	172	core adjective core_500 core_1000 core_2000
by	town; city; town, city	noun	173	core noun core_500 core_1000 core_2000
lægge	lay; to lay; put	verb	174	core verb core_500 core_1000 core_2000
stadig	constantly; continuously; continually	adverb	175	core adverb core_500 core_1000 core_2000
forhold	relation; relationship; proportion	noun	176	core noun core_500 core_1000 core_2000
først	first; firstly; first, firstly	adverb	177	core adverb core_500 core_1000 core_2000
måde	method; way; method, way	noun	178	core noun core_500 core_1000 core_2000
mulighed	possibility; opportunity; chance	noun	179	core noun core_500 core_1000 core_2000
arbejde	work; work, to do a specific task	verb	180	core verb core_500 core_1000 core_2000
gennem	through; during; through, during	preposition	181	core preposition core_500 core_1000 core_2000
lade	let; leave; have	verb	182	core verb core_500 core_1000 core_2000
arbejde	work; physics	noun	183	core noun core_500 core_1000 core_2000
grund	reason; motive; site	noun	184	core noun core_500 core_1000 core_2000
over	across; asunder; in two	adverb	185	core adverb core_500 core_1000 core_2000
allerede	already	adverb	186	core adverb core_500 core_1000 core_2000
begynde	start; begin; commence	verb	187	core verb core_500 core_1000 core_2000
samtidig	also; in addition; furthermore	adverb	188	core adverb core_500 core_1000 core_2000
politi	police	noun	189	core noun core_500 core_1000 core_2000
køre	drive; to drive; ride	verb	190	core verb core_500 core_1000 core_2000
bog	book; beechnut; beech mast	noun	191	core noun core_500 core_1000 core_2000
