Danish,English,PartOfSpeech,Example,Tags,frequency_rank,count,normalized_frequency
undersøgelse,,,,danish::news_top_500,108,52,0.0011049488961135548
også,,,,danish::news_top_500,109,51,0.0010836998788806018
giver,,,,danish::news_top_500,110,51,0.0010836998788806018
indgået,,,,danish::news_top_500,111,51,0.0010836998788806018
rapport,,,,danish::news_top_500,112,51,0.0010836998788806018
eleverne,,,,danish::news_top_500,113,51,0.0010836998788806018
bredt,,,,danish::news_top_500,114,51,0.0010836998788806018
første,,,,danish::news_top_500,115,50,0.0010624508616476488
opdateret,,,,danish::news_top_500,116,50,0.0010624508616476488
ungdomsuddannelser,,,,danish::news_top_500,117,50,0.0010624508616476488
fgu,,,,danish::news_top_500,118,50,0.0010624508616476488
folkeparti,,,,danish::news_top_500,119,50,0.0010624508616476488
kl,,,,danish::news_top_500,120,49,0.0010412018444146958
så,,,,danish::news_top_500,121,49,0.0010412018444146958
frem,,,,danish::news_top_500,122,49,0.0010412018444146958
du,,,,danish::news_top_500,123,48,0.0010199528271817428
grundskoler,,,,danish::news_top_500,124,48,0.0010199528271817428
forsøg,,,,danish::news_top_500,125,47,0.0009987038099487898
undervisningsministeriets,,,,danish::news_top_500,126,47,0.0009987038099487898
genåbning,,,,danish::news_top_500,127,47,0.0009987038099487898
dag,,,,danish::news_top_500,128,46,0.000977454792715837
give,,,,danish::news_top_500,129,46,0.000977454792715837
hele,,,,danish::news_top_500,130,46,0.000977454792715837
kommune,,,,danish::news_top_500,131,46,0.000977454792715837
prøver,,,,danish::news_top_500,132,46,0.000977454792715837
elevernes,,,,danish::news_top_500,133,46,0.000977454792715837
tre,,,,danish::news_top_500,134,45,0.0009562057754828839
når,,,,danish::news_top_500,135,45,0.0009562057754828839
danmarks,,,,danish::news_top_500,136,45,0.0009562057754828839
ekspertgruppe,,,,danish::news_top_500,137,45,0.0009562057754828839
undervisningen,,,,danish::news_top_500,138,45,0.0009562057754828839
udvikling,,,,danish::news_top_500,139,45,0.0009562057754828839
fokus,,,,danish::news_top_500,140,44,0.000934956758249931
januar,,,,danish::news_top_500,141,44,0.000934956758249931
grundskolen,,,,danish::news_top_500,142,44,0.000934956758249931
ordblindhed,,,,danish::news_top_500,143,44,0.000934956758249931
skole,,,,danish::news_top_500,144,44,0.000934956758249931
restriktioner,,,,danish::news_top_500,145,44,0.000934956758249931
faglige,,,,danish::news_top_500,146,43,0.000913707741016978
nationale,,,,danish::news_top_500,147,43,0.000913707741016978
folketinget,,,,danish::news_top_500,148,43,0.000913707741016978
uddannelser,,,,danish::news_top_500,149,43,0.000913707741016978
regler,,,,danish::news_top_500,150,43,0.000913707741016978
læring,,,,danish::news_top_500,151,43,0.000913707741016978
ud,,,,danish::news_top_500,152,42,0.000892458723784025
have,,,,danish::news_top_500,153,42,0.000892458723784025
både,,,,danish::news_top_500,154,42,0.000892458723784025
forlænges,,,,danish::news_top_500,155,42,0.000892458723784025
brug,,,,danish::news_top_500,156,41,0.0008712097065510721
mellem,,,,danish::news_top_500,157,41,0.0008712097065510721
procent,,,,danish::news_top_500,158,40,0.000849960689318119
ungdomsuddannelserne,,,,danish::news_top_500,159,40,0.000849960689318119
blive,,,,danish::news_top_500,160,39,0.000828711672085166
digitale,,,,danish::news_top_500,161,39,0.000828711672085166
kommunerne,,,,danish::news_top_500,162,39,0.000828711672085166
sidste,,,,danish::news_top_500,163,39,0.000828711672085166
partier,,,,danish::news_top_500,164,39,0.000828711672085166
støtte,,,,danish::news_top_500,165,39,0.000828711672085166
folkeskoler,,,,danish::news_top_500,166,39,0.000828711672085166
venstre,,,,danish::news_top_500,167,39,0.000828711672085166
initiativer,,,,danish::news_top_500,168,39,0.000828711672085166
nyhedsbrevet,,,,danish::news_top_500,169,39,0.000828711672085166
muligt,,,,danish::news_top_500,170,38,0.000807462654852213
frie,,,,danish::news_top_500,171,38,0.000807462654852213
skoleåret,,,,danish::news_top_500,172,38,0.000807462654852213
folketingets,,,,danish::news_top_500,173,38,0.000807462654852213
høj,,,,danish::news_top_500,174,37,0.0007862136376192601
går,,,,danish::news_top_500,175,37,0.0007862136376192601
hvis,,,,danish::news_top_500,176,37,0.0007862136376192601
resultater,,,,danish::news_top_500,177,37,0.0007862136376192601
offentliggjort,,,,danish::news_top_500,178,37,0.0007862136376192601
del,,,,danish::news_top_500,179,36,0.0007649646203863071
samtidig,,,,danish::news_top_500,180,36,0.0007649646203863071
evaluering,,,,danish::news_top_500,181,36,0.0007649646203863071
årets,,,,danish::news_top_500,182,35,0.0007437156031533541
indsats,,,,danish::news_top_500,183,35,0.0007437156031533541
erhvervsuddannelse,,,,danish::news_top_500,184,35,0.0007437156031533541
odense,,,,danish::news_top_500,185,35,0.0007437156031533541
næste,,,,danish::news_top_500,186,34,0.0007224665859204012
udfordringer,,,,danish::news_top_500,187,34,0.0007224665859204012
mandag,,,,danish::news_top_500,188,34,0.0007224665859204012
midler,,,,danish::news_top_500,189,34,0.0007224665859204012
retningslinjer,,,,danish::news_top_500,190,34,0.0007224665859204012
indsatser,,,,danish::news_top_500,191,33,0.0007012175686874482
kommer,,,,danish::news_top_500,192,33,0.0007012175686874482
